Iter,Train,Val_G,Val_L,AP50:95,AP50,AP75
1,3.1596760749816895,2.9493069240025114,2.9624266624450684,0.0,0.0,0.0
127,0.6638162136077881,1.798703260081155,0.6460280418395996,0.002037480183785031,0.010992986453951002,0.00015529254045508443
254,0.5165531039237976,1.3647356144019536,0.46779102087020874,0.015039195319721007,0.06162388527697635,0.0018302396087321912
381,0.5834596157073975,1.1455424179988247,0.4709184765815735,0.01794783625876499,0.07548262250279407,0.002790655807773619
508,0.5483168959617615,1.0022343599796295,0.41366347670555115,0.01979791836082672,0.084453552431888,0.0025514890898720804
635,0.5329551100730896,0.9172894305416516,0.4630202353000641,0.02348210994723448,0.10190880793759162,0.002481298365853266
762,0.5617110133171082,0.8485854564272628,0.44025808572769165,0.029486731352162447,0.1229901387648639,0.005973175243934393
889,0.453011691570282,0.7982444725398506,0.42714613676071167,0.03325227407765622,0.14084441154442767,0.005878378321068284
1016,0.4401320219039917,0.7547617274144339,0.3783140778541565,0.049952608408318416,0.20238808778202358,0.008310781166133388
1143,0.4868767261505127,0.7202894506284169,0.38569432497024536,0.056715802367296814,0.21448594374032867,0.013428999935385814
1270,0.4504261910915375,0.6890902782802458,0.35025376081466675,0.05425997346069311,0.21123361841593657,0.012127738807220017
1397,0.37423062324523926,0.6676190666854381,0.4256978929042816,0.07184836035222189,0.2790012599169887,0.014983578724074149
1524,0.3398393392562866,0.6495404348596112,0.4120989441871643,0.0699068243184828,0.26796411291295724,0.015964054733964204
1651,0.39228659868240356,0.6301433075143367,0.35048598051071167,0.07818596811656003,0.3015422208948571,0.02114561806412402
1778,0.4561064839363098,0.613757238544169,0.3745632469654083,0.07640689941073629,0.27730979288310936,0.020100741684300046
1905,0.3379915952682495,0.5978617093525826,0.3417282700538635,0.06775208943084059,0.25587276389536306,0.018007331330003012
2032,0.4377150535583496,0.585834348765241,0.36500734090805054,0.0844112249972445,0.3055353633572843,0.019384693372988933
2159,0.3380414545536041,0.573591699261987,0.3424280285835266,0.0758551225285749,0.27666629597308706,0.01989177605996541
2286,0.3734651207923889,0.5633346861802546,0.3636724650859833,0.11187465617058871,0.3878395602483677,0.030793107431055074
2413,0.3631612956523895,0.5545787072501013,0.3739320933818817,0.10346942916412274,0.36432560569129135,0.02647940150215675
2540,0.43158602714538574,0.5449721457195931,0.3463587164878845,0.10541328664250114,0.3479887039638051,0.03673994645308675
2667,0.4000399112701416,0.5368094955365379,0.35425031185150146,0.11543300773469628,0.3952423385012312,0.03677578336854438
2794,0.347627729177475,0.5292820073247696,0.3430609703063965,0.09883508019164822,0.35816955335610123,0.02422162765511984
2921,0.2985799312591553,0.522603677993729,0.3466426730155945,0.09040587075214325,0.31555964394777586,0.026309255400816103
3048,0.35977596044540405,0.5156181346178055,0.3385559022426605,0.08889054617528175,0.30959160524734586,0.027062516895770067
3175,0.38654273748397827,0.5115836529450102,0.40342727303504944,0.08411497220886087,0.3304967091666756,0.013646316154382861
3302,0.3130835294723511,0.5052995804835249,0.3474784791469574,0.10628360167762776,0.354282386382494,0.02749010238744567
3429,0.4130849242210388,0.501511927823327,0.3833387494087219,0.11688439745085506,0.3876019610781748,0.03486150533759416
3556,0.3769873082637787,0.4970212761184265,0.3678748905658722,0.12161350749768651,0.39233816179507097,0.0408163447188494
3683,0.3465372920036316,0.4936501432955265,0.3754376471042633,0.1044339552830085,0.3755432952868266,0.02263729371197096
3810,0.3703076243400574,0.48894891863182394,0.35777217149734497,0.1272356537281717,0.4246030996350578,0.041888761191832546
3937,0.37798357009887695,0.48520288722190474,0.3652217984199524,0.15984611508559035,0.5032842108398707,0.05386668762768676
4064,0.27113062143325806,0.4810982297767292,0.34502270817756653,0.1516276344829393,0.48012764222731724,0.06197166822753063
4191,0.30242159962654114,0.47703571464835093,0.34924155473709106,0.13134036082067346,0.42923669978612333,0.04940722497240931
4318,0.31417521834373474,0.4737633657394623,0.34587574005126953,0.15357725278561143,0.48351109916548024,0.05490883413022444
4445,0.34354329109191895,0.47076279859812487,0.3642192482948303,0.14908671062839424,0.48750200306084107,0.0560705079563004
4572,0.3240579068660736,0.46725377384069805,0.33181506395339966,0.16026853179364947,0.49453405142951884,0.05978638302389582
4699,0.3215273916721344,0.46439623244498907,0.36083585023880005,0.152008101457477,0.4857245889754193,0.06240919050886005
4826,0.2948424220085144,0.4618716010189318,0.3595842719078064,0.1669707585289198,0.5190216230676298,0.07251731367689762
4953,0.26752039790153503,0.4590242432111076,0.347042053937912,0.16500357625102355,0.5055072853944271,0.06291793521034371
5080,0.2982266843318939,0.4566050629582555,0.3503027856349945,0.16116326051211952,0.4754095758550639,0.07135435292776071
5207,0.2970854938030243,0.4543131229575394,0.3588442802429199,0.17313377073459008,0.5285332615110366,0.07346261787822961
5334,0.34306785464286804,0.4518111850781694,0.34617453813552856,0.17289619155952424,0.5138240439047744,0.07629886771718562
5461,0.30106353759765625,0.4500632560727271,0.3631678819656372,0.14347481220201957,0.47443219850852486,0.047567081099849855
5588,0.24419623613357544,0.4477787995858798,0.34212708473205566,0.18836689933274486,0.5557364750832559,0.07140803488431575
5715,0.2736395001411438,0.4458607332723111,0.34899917244911194,0.18320005608499465,0.5483726852143253,0.0769082750726582
5842,0.28769710659980774,0.4445872399174696,0.3859896659851074,0.18601869195264267,0.5591160505936512,0.07307419180938524
5969,0.2806653380393982,0.4428432366588996,0.3631550967693329,0.18539554475046674,0.542828680568385,0.08625012044175588
6096,0.30612075328826904,0.44176150690709887,0.3672388792037964,0.17277925270295308,0.5266907865928232,0.061580902208213835
6223,0.2598583996295929,0.4398791576879365,0.35402435064315796,0.17977048809458634,0.5485939080180865,0.07321864154935732
6350,0.20427224040031433,0.438644106130974,0.3859403133392334,0.17898502594662208,0.5479078407569361,0.06742808745751537
6477,0.309414803981781,0.4378963846754242,0.3926275372505188,0.17875957509753782,0.5589235000078671,0.0632070342103258
6604,0.28045567870140076,0.4370997509464742,0.3929135501384735,0.17900828551955983,0.5413964968456608,0.073736689835185
6731,0.2182539850473404,0.43575111176601794,0.36512118577957153,0.1931234638947295,0.5574728676706199,0.08764043279293104
6858,0.3071170747280121,0.43481645760985166,0.39657193422317505,0.1926704122739605,0.5668686239281011,0.08441050794474748
6985,0.26438653469085693,0.43400442443255866,0.39543628692626953,0.1886828474896272,0.5688402878686396,0.07220453197883785
7112,0.22610673308372498,0.4325921729169693,0.36380189657211304,0.19965584676448617,0.5680264478626024,0.09203484580976416
7239,0.19959528744220734,0.4315673575722819,0.38394787907600403,0.19763157511804622,0.5842434714628864,0.08442163020332619
7366,0.23453831672668457,0.4302687243817794,0.3451969027519226,0.16130488234641543,0.5094603176047382,0.05957281164793551
7493,0.22358348965644836,0.4292230037422407,0.36055365204811096,0.20339986955494122,0.5796727055490337,0.10198904812176317
7500,0.2129417359828949,0.42855757962415036,0.3907504379749298,0.18031471534429566,0.5522638550998675,0.0711932333934315
