Iter,Train,Val_G,Val_L,Loss_Class,Loss_Box_Reg,Loss_Objectness,Loss_RPN_Box_Reg,AP50:95,AP50,AP75
1,1.5791460275650024,1.4214998194149562,1.3913915157318115,0.4820575714111328,0.010015256702899933,0.7006118893623352,0.19870679080486298,4.731521367184365e-06,2.506579771901241e-05,0.0
127,0.7664370536804199,1.0971937247685024,0.7451498508453369,0.39068782329559326,0.2314670830965042,0.10035213083028793,0.022642869502305984,0.08593756689017816,0.22746054932222098,0.04636470347925285
254,0.8126946091651917,0.9316037307182948,0.6203062534332275,0.304621160030365,0.2570788562297821,0.04064729064702988,0.017958883196115494,0.2613330619395737,0.6126229396073478,0.1714366215859037
381,0.49954888224601746,0.8317200629838876,0.5711708068847656,0.29185950756073,0.23139210045337677,0.0304020456969738,0.01751716434955597,0.3273617968148746,0.7326931747782514,0.23915514717404665
508,0.516845703125,0.7585875512020929,0.5089115500450134,0.2547440826892853,0.21864119172096252,0.02249261364340782,0.013033652678132057,0.3791893455263182,0.8091037149268883,0.3163855835995376
635,0.4300227165222168,0.7027280754986264,0.46867966651916504,0.2324293553829193,0.2018294632434845,0.017121847718954086,0.01729893870651722,0.4023034234673944,0.8479578290295151,0.3305050981887768
762,0.41635584831237793,0.6603626507885602,0.4705466628074646,0.22949281334877014,0.20736654102802277,0.017339007928967476,0.016348302364349365,0.4422139374334832,0.8741944503787852,0.3913829494785721
889,0.3965388536453247,0.6342528847711427,0.5273500084877014,0.2624855637550354,0.2321782112121582,0.013255329802632332,0.01943090185523033,0.42333866063591635,0.8756079050393928,0.3387883103887764
1016,0.3709450960159302,0.6079312559631136,0.47189784049987793,0.23010146617889404,0.22139465808868408,0.009816685691475868,0.010585050098598003,0.46569254862043635,0.8782214028959875,0.4395797864211011
1143,0.2720453441143036,0.5843387959046024,0.4453193247318268,0.2095041573047638,0.2078719437122345,0.016277223825454712,0.011665998958051205,0.4831317483274119,0.9074722676560091,0.4694961608044975
1270,0.383411705493927,0.5695196042006666,0.4694841504096985,0.22318227589130402,0.22276397049427032,0.01198960654437542,0.011548253707587719,0.4192448190978878,0.8943823270649055,0.3123498592165099
1397,0.4302915334701538,0.5523094437129441,0.4281650483608246,0.2012311965227127,0.20147481560707092,0.011068125255405903,0.014390875585377216,0.4738034955707972,0.9126177049566072,0.44112422447981964
1524,0.3812239468097687,0.5427401158017117,0.48294463753700256,0.25787585973739624,0.20338945090770721,0.00903176050633192,0.012647561728954315,0.4250598598234694,0.8875858556734263,0.33597434407447957
1651,0.33588188886642456,0.5287072676937191,0.39858096837997437,0.19558720290660858,0.1808137148618698,0.010692008771002293,0.011488081887364388,0.5077451588875198,0.9139445347643997,0.5112986554830588
1778,0.2254510372877121,0.5161200492013068,0.40962257981300354,0.19587385654449463,0.19087210297584534,0.009746216237545013,0.013130389153957367,0.5041693059624127,0.9123380333211643,0.5080089619237768
1905,0.190555140376091,0.507956838541265,0.43296799063682556,0.22568805515766144,0.18916216492652893,0.007989994250237942,0.010127763263881207,0.49811410512974486,0.8977620727815827,0.5042587897738091
2032,0.3070136606693268,0.4981850237029941,0.39731988310813904,0.19493982195854187,0.17649918794631958,0.01615969091653824,0.009721124544739723,0.506862470761263,0.9095926097134582,0.5089773586097249
2159,0.2996540367603302,0.48980341519391724,0.3841058611869812,0.20092549920082092,0.16112320125102997,0.01007690466940403,0.01198028214275837,0.47888505948578225,0.9148827918176534,0.4471614572700502
2286,0.23357811570167542,0.4812921956517643,0.40145939588546753,0.19492504000663757,0.18634143471717834,0.008155766874551773,0.012037195265293121,0.5022661501031265,0.9187924335760899,0.496367148823305
2413,0.18226408958435059,0.47478839200522216,0.4218457341194153,0.2095644474029541,0.18966689705848694,0.010122587904334068,0.01249171607196331,0.5018827223608299,0.8992426324954773,0.5093326331073091
2540,0.19330106675624847,0.46687516163603787,0.36286646127700806,0.17686495184898376,0.1663942039012909,0.008813911117613316,0.010793388821184635,0.5232070416897734,0.9242212703677697,0.5361421306870727
2667,0.17012186348438263,0.4603889061258985,0.3853512704372406,0.2053263932466507,0.16390998661518097,0.006509372033178806,0.009605531580746174,0.5237951042884291,0.928656602284125,0.5352355895082298
2794,0.20542006194591522,0.4555902754020247,0.3961251378059387,0.21054300665855408,0.16318218410015106,0.010586590506136417,0.011813363060355186,0.4901030393361631,0.9137949376919112,0.46819651522437417
2921,0.1551225632429123,0.45116606678458904,0.40216344594955444,0.21767210960388184,0.16594848036766052,0.008344035595655441,0.010198850184679031,0.5099600085267493,0.913873058939868,0.5065978006380051
3048,0.2560097873210907,0.4477555445177214,0.41991862654685974,0.2235947847366333,0.17278960347175598,0.013137852773070335,0.010396357625722885,0.474529804795668,0.9133830220214635,0.44063689213885354
3175,0.20427066087722778,0.4434510611816422,0.4052138924598694,0.21881751716136932,0.16741825640201569,0.008989909663796425,0.009988149628043175,0.5107941861722956,0.9243326903909856,0.5026890462630543
3302,0.2513318359851837,0.4387017407902965,0.3759979009628296,0.18528619408607483,0.17300920188426971,0.0066816313192248344,0.011020882055163383,0.519636530680179,0.921763869783007,0.534996327640563
3429,0.14003720879554749,0.4358504617168587,0.42448553442955017,0.2203971892595291,0.17481765151023865,0.012545074336230755,0.01672559604048729,0.5164822706991665,0.904186743036818,0.5289126081173353
3556,0.11157763004302979,0.431594010732444,0.37326207756996155,0.19234135746955872,0.15658067166805267,0.01397797279059887,0.010362143628299236,0.5414851663500441,0.9149084952183419,0.578101417427331
3683,0.12917344272136688,0.4271211018555221,0.3478584885597229,0.180556520819664,0.14983543753623962,0.006996553391218185,0.010469970293343067,0.5390414580800593,0.9246919466059095,0.5748748981765271
3810,0.11990149319171906,0.42362941049966396,0.37032800912857056,0.18563956022262573,0.16430918872356415,0.007918817922472954,0.012460441328585148,0.5326628529658256,0.926429621266918,0.5571385425649618
3937,0.10586383938789368,0.42010180847386697,0.3584621846675873,0.18783876299858093,0.15312618017196655,0.007757789455354214,0.009739464148879051,0.5346918593538174,0.9258337570407723,0.5521196661126763
4064,0.09106665849685669,0.4166096027118045,0.3724178373813629,0.19673998653888702,0.15399625897407532,0.009837753139436245,0.011843802407383919,0.5362285647564936,0.9259854626781382,0.5591079655139172
