Iter,Train,Val_G,Val_L,Loss_Class,Loss_Box_Reg,Loss_Objectness,Loss_RPN_Box_Reg,AP50:95,AP50,AP75
1,1.6591126918792725,1.4086431094578333,1.3902301788330078,0.5401345491409302,0.002143427962437272,0.703896164894104,0.14405618607997894,0.0,0.0,0.0
127,0.8259491920471191,1.0914306666169848,0.787983775138855,0.43017521500587463,0.21053536236286163,0.1269090324640274,0.020364105701446533,0.08425572537649195,0.20990897078029755,0.0508041719992396
254,0.5833325386047363,0.9588755675724574,0.7178011536598206,0.3787738084793091,0.2654469609260559,0.053578030318021774,0.02000230923295021,0.23812305361139977,0.5610364696219649,0.14963582430380176
381,0.5243305563926697,0.8642273338777678,0.6248064637184143,0.33380675315856934,0.2345035821199417,0.03839751332998276,0.01809856854379177,0.3071904735038819,0.7165056959739063,0.20132119175724336
508,0.6195465326309204,0.7893438707079207,0.5492590665817261,0.2860533595085144,0.22798070311546326,0.02028157189488411,0.01494341529905796,0.37011201020084755,0.8029581768903044,0.27378627298216474
635,0.4121435880661011,0.731391104275272,0.5118086338043213,0.2576752305030823,0.22093038260936737,0.01938020810484886,0.013822834007441998,0.4077563644153653,0.8396144747482525,0.34348346896216364
762,0.40614137053489685,0.6866372225844131,0.4671189785003662,0.242882639169693,0.20043368637561798,0.011197512038052082,0.012605133466422558,0.43029758459525647,0.8645052964730789,0.3808099400564674
889,0.6934820413589478,0.653887924711619,0.48831456899642944,0.2657977342605591,0.19984927773475647,0.010111361742019653,0.012556101195514202,0.4381976374841143,0.8685858061166496,0.38177685443171766
1016,0.465656042098999,0.624867367271393,0.4424501359462738,0.22275367379188538,0.19565042853355408,0.008692512288689613,0.015353587456047535,0.44335550401535107,0.8806290562174532,0.3838423471780051
1143,0.2686174809932709,0.5993134484972272,0.42215394973754883,0.20521803200244904,0.1948651671409607,0.010700886137783527,0.011369883082807064,0.46409244320084486,0.8923964447945038,0.4258130361938101
1270,0.5327001810073853,0.5784742122540226,0.4263961911201477,0.22046856582164764,0.18623152375221252,0.008142774924635887,0.011553274467587471,0.48702572096500574,0.9059217631608356,0.4722566522170602
1397,0.4296070337295532,0.5592794272516455,0.39590588212013245,0.19236376881599426,0.1754406988620758,0.014759290032088757,0.01334216445684433,0.4905020816467456,0.9074566450788112,0.4742906410133651
1524,0.571216344833374,0.5426164693066052,0.3830268085002899,0.18816916644573212,0.1774316132068634,0.007077285088598728,0.0103487279266119,0.5059264745142479,0.9189204630397686,0.493843439653753
1651,0.32919368147850037,0.5289206002135666,0.4048115611076355,0.20780909061431885,0.1761607825756073,0.005854655988514423,0.0149870365858078,0.5057220105012161,0.9133596382583725,0.5002207888140747
1778,0.3103838264942169,0.5191126607713246,0.4339376986026764,0.23603899776935577,0.17951765656471252,0.00826987624168396,0.010111099109053612,0.5034931234154952,0.9192830468869374,0.4845263259437049
1905,0.26797112822532654,0.510550729145429,0.4242985248565674,0.2152973860502243,0.19096726179122925,0.008201095275580883,0.009832782670855522,0.48346536946332436,0.9145940047603609,0.4581447075699448
2032,0.41699814796447754,0.500219524445153,0.39008358120918274,0.1820531189441681,0.19068901240825653,0.007370121777057648,0.009971263818442822,0.5035513478332342,0.916456047238853,0.4804924780974875
2159,0.3704732656478882,0.490321989191903,0.36299780011177063,0.17410632967948914,0.17332731187343597,0.005417763255536556,0.010146395303308964,0.518106249838171,0.9183432171075103,0.5271480822980513
2286,0.29884788393974304,0.4803818783477733,0.350793719291687,0.16995945572853088,0.16342641413211823,0.005348957143723965,0.012058936059474945,0.5396640649972685,0.9393427538143015,0.564356278261343
2413,0.253229558467865,0.47349782049655914,0.4029979705810547,0.1947825402021408,0.19148492813110352,0.006559769622981548,0.010170784778892994,0.5167246872147727,0.9237893177566544,0.526773852670478
2540,0.23762647807598114,0.4660518928652718,0.36283719539642334,0.18123313784599304,0.1677810400724411,0.004128819331526756,0.009694236330688,0.5382174777730186,0.9225101245774688,0.5662263704474577
2667,0.2443096935749054,0.45854963995032494,0.3368927538394928,0.16083377599716187,0.1621907651424408,0.0035514861810952425,0.010316694155335426,0.5342038197227476,0.9274389725933408,0.5597397065427221
2794,0.28373509645462036,0.4517740734893343,0.3455851078033447,0.16727520525455475,0.15643391013145447,0.007997115142643452,0.0138788390904665,0.5354791902164565,0.9302402676947324,0.555984629602558
2921,0.19056816399097443,0.44552975681033874,0.35415974259376526,0.16606532037258148,0.17315149307250977,0.00510523933917284,0.009837685152888298,0.536479332086799,0.921228272496786,0.5675206316520596
3048,0.2531190812587738,0.4396190090605191,0.3398715853691101,0.16867060959339142,0.155951589345932,0.006314171012490988,0.008935235440731049,0.5385448120534935,0.9359423111552735,0.5513863125849557
