Iter,Train,Val_G,Val_L,Loss_Class,Loss_Box_Reg,Loss_Objectness,Loss_RPN_Box_Reg,AP50:95,AP50,AP75
1,1.5088896751403809,1.4130744593484061,1.3528683185577393,0.4840618669986725,0.02136114612221718,0.6714186668395996,0.1760265827178955,0.00019857932271007158,0.0006600660066006601,0.0
127,0.6615573167800903,1.0910539754799433,0.7344093322753906,0.337502658367157,0.22375699877738953,0.12492547929286957,0.04822417348623276,0.04292489003859185,0.14707790405933674,0.008076762272229022
254,0.6838281154632568,0.9599390975066594,0.7152971029281616,0.3682902157306671,0.2633052468299866,0.06699029356241226,0.01671133190393448,0.22354257944650568,0.5168839839588456,0.14718522000902864
381,0.7775359153747559,0.85590774672372,0.5876476168632507,0.2915681004524231,0.24380891025066376,0.03574569895863533,0.016524886712431908,0.2859095900199028,0.6596848805737877,0.20677491756554578
508,0.6419041752815247,0.7871543924297605,0.5541837811470032,0.2936691641807556,0.22129258513450623,0.02393334172666073,0.01528872549533844,0.3524761868757899,0.7891047351951842,0.2571741621347908
635,0.4722461700439453,0.7320866064656348,0.5156638622283936,0.2737254500389099,0.21020932495594025,0.01647118292748928,0.015257813036441803,0.38065837971374006,0.8398664011316409,0.28359875526843364
762,0.7354321479797363,0.6849577316520166,0.46247929334640503,0.2308904230594635,0.20499566197395325,0.011418194510042667,0.01517503708600998,0.4259680444908607,0.8499129522482403,0.36154392557828885
889,0.4969328045845032,0.6478007872721978,0.4477619230747223,0.22994545102119446,0.18958640098571777,0.015333771705627441,0.01289631612598896,0.4603587672642058,0.8876154152278171,0.4130245931003055
1016,0.36931002140045166,0.61905017868867,0.4305296540260315,0.2165507823228836,0.1921217441558838,0.009536861442029476,0.012320253998041153,0.44485140860420286,0.8837045353786772,0.3883206527691346
1143,0.3816148638725281,0.5937695103245122,0.4250246584415436,0.22071614861488342,0.18298275768756866,0.010328979231417179,0.010996798984706402,0.46407371854417256,0.9002968517184654,0.42269919617268964
1270,0.3719542622566223,0.5745406661714826,0.4372304081916809,0.2170422375202179,0.18983547389507294,0.013580607250332832,0.01677212305366993,0.465242636139984,0.8967229425885447,0.43278010903478265
1397,0.4035037159919739,0.5571797048406941,0.42140525579452515,0.2294885665178299,0.17342238128185272,0.008141541853547096,0.01035279966890812,0.4848361439376014,0.9020276033599235,0.4642925847859372
1524,0.34719887375831604,0.5397437109233258,0.37673670053482056,0.18422925472259521,0.1703297644853592,0.012055197730660439,0.010122498497366905,0.49295441619213926,0.9183716486771517,0.47719993520249687
1651,0.26553109288215637,0.5251894226335749,0.3998202979564667,0.20206709206104279,0.17386774718761444,0.012003639712929726,0.011881818994879723,0.5022638066630956,0.9159760359969398,0.49811855770094465
1778,0.2827080190181732,0.5117259814483779,0.3773806691169739,0.18844753503799438,0.16852687299251556,0.010341769084334373,0.010064488276839256,0.5211395849068868,0.9242146126247555,0.5222528045411511
1905,0.26696696877479553,0.4997649856177824,0.38961249589920044,0.1870030164718628,0.17536668479442596,0.0173940546810627,0.009848756715655327,0.5096252099686315,0.9171017773500122,0.5031904132923357
2032,0.3533608615398407,0.4881944010112466,0.33720988035202026,0.158915176987648,0.1606389284133911,0.005726278759539127,0.011929517611861229,0.5032098334454428,0.927384646903136,0.4821674375140624
2159,0.3001093864440918,0.4787083357809082,0.3762865960597992,0.19317644834518433,0.16524678468704224,0.007366598583757877,0.01049682404845953,0.5252323014458825,0.9242023342199301,0.5370004661157062
2286,0.30228888988494873,0.4701220780498999,0.3699313700199127,0.19046583771705627,0.16188760101795197,0.008951803669333458,0.008626089431345463,0.5375812379061807,0.9338643893968457,0.5512115238458872
2413,0.19200825691223145,0.4610799540153572,0.35268864035606384,0.1641869693994522,0.17122840881347656,0.008313353173434734,0.008959950879216194,0.533955259423052,0.9273250683725789,0.5336964608354162
2540,0.3206395208835602,0.4531726954846966,0.33004528284072876,0.1661723554134369,0.14902600646018982,0.005815986078232527,0.009030928835272789,0.5224992847150626,0.9272770143758128,0.5393497232674551
2667,0.2454424649477005,0.44564565648506216,0.3321777880191803,0.16640625894069672,0.15052342414855957,0.005203115753829479,0.010044996626675129,0.5253490610019268,0.9355159382949522,0.5280732722621878
2794,0.21236616373062134,0.43869797747512784,0.3349461853504181,0.16510553658008575,0.15432807803153992,0.004361154045909643,0.011151385493576527,0.5299697701434788,0.9237372573612239,0.5301296735158242
2921,0.5781416893005371,0.4319474121289594,0.32119089365005493,0.14881232380867004,0.1570669263601303,0.006144843064248562,0.009166749194264412,0.5322247266680591,0.9277722417640126,0.5485732666057584
3048,0.24075332283973694,0.4259671345608575,0.31745439767837524,0.15569452941417694,0.14701375365257263,0.0059379576705396175,0.00880818534642458,0.5394534261351487,0.9274700252262003,0.5615766746575227
3175,0.31767207384109497,0.42168718937497873,0.36844193935394287,0.18056240677833557,0.16253796219825745,0.009939384646713734,0.015402193181216717,0.5133533855876752,0.9263914922872531,0.518292038236076
3302,0.4119921028614044,0.4166981474274681,0.3452698886394501,0.16343791782855988,0.15401586890220642,0.010016745887696743,0.01779939979314804,0.5421269367762744,0.9349042865742594,0.569110833320197
3429,0.23417812585830688,0.41161450504952546,0.32379719614982605,0.15359555184841156,0.15376244485378265,0.00707367155700922,0.009365539066493511,0.5536950343651538,0.9271301235794024,0.5762902991391554
3556,0.261664479970932,0.4066048820030513,0.31630101799964905,0.1526886373758316,0.149180606007576,0.005449512042105198,0.008982227183878422,0.564755737631924,0.9362238902817799,0.61366898905
3683,0.2322528213262558,0.4023995867584433,0.34142494201660156,0.15565043687820435,0.1659061461687088,0.010526186786592007,0.009342186152935028,0.5230493623477175,0.9319487671946647,0.5247117888385543
3810,0.2151738852262497,0.3981827303389525,0.31399792432785034,0.146480530500412,0.15215446054935455,0.006799302063882351,0.008563603274524212,0.5612028386943768,0.9287510032768553,0.6096098485837854
3937,0.17826011776924133,0.39425913480975266,0.307621031999588,0.14350420236587524,0.14637579023838043,0.00672376062721014,0.011017309501767159,0.5532086953585831,0.9391493709602877,0.5899813939542105
4064,0.24062694609165192,0.39071208361487886,0.3174150586128235,0.1467866599559784,0.15628883242607117,0.005537121091037989,0.00880246888846159,0.5320680108333183,0.927288081687416,0.54797280029786
4191,0.1983783096075058,0.387429910963949,0.33326688408851624,0.16609463095664978,0.14915749430656433,0.008143233135342598,0.009871537797152996,0.547251373715163,0.9393577264845735,0.5754252326752433
