Iter,Train,Val_G,Val_L,AP50:95,AP50,AP75
1,1.6687591075897217,1.470262382711683,1.4357044696807861,7.981451107625878e-07,3.990725553812939e-06,0.0
127,0.8227331638336182,1.1172758085387093,0.7513481974601746,0.09993321909080848,0.29640954699693073,0.04240121219008444
254,0.66928631067276,0.923883945743243,0.571182906627655,0.2727616323466256,0.6905360567354017,0.15526869997474238
381,0.4647729992866516,0.8257475080234664,0.5675528049468994,0.2976048251407794,0.7628778396624581,0.16655475736327588
508,0.6137803196907043,0.750001391683306,0.48880845308303833,0.3776396203907784,0.8372762282362683,0.2829013213714349
635,0.39734867215156555,0.6957712283091886,0.4721521735191345,0.3951301878212952,0.8549567862426103,0.29211192682688386
762,0.3632084131240845,0.6536884988449058,0.457172691822052,0.42203500948585765,0.8823513785588423,0.34380412254957665
889,0.40972012281417847,0.619075873467539,0.40898656845092773,0.42159875484643,0.8879064934221003,0.3479155460294212
1016,0.3467041850090027,0.5925005085884578,0.42420727014541626,0.4385904221833377,0.8985401902570749,0.3859387378553165
1143,0.23587697744369507,0.5699912668551718,0.40221792459487915,0.45089771533096945,0.8820618743554224,0.40570314539535707
1270,0.3689849376678467,0.5549331851400339,0.44696664810180664,0.4233585619911412,0.8831188750594575,0.34897361557587414
1397,0.17486660182476044,0.5369767979674396,0.38845306634902954,0.47637992156737974,0.88980436421817,0.4461114834016661
1524,0.30305588245391846,0.5216972722293256,0.37995651364326477,0.48128838377444483,0.9034702360867908,0.45707194215818037
1651,0.20197497308254242,0.5078412622061311,0.36374431848526,0.47018472219339624,0.9126393614080271,0.43713430690521926
1778,0.18940749764442444,0.4960434199514843,0.38186952471733093,0.49045526704823666,0.916991341017906,0.4777203817037722
1905,0.2429223656654358,0.4866197252779135,0.3904218375682831,0.4659456857994963,0.9156751219853121,0.40810838865601157
2032,0.2483757883310318,0.47731132234344964,0.36894744634628296,0.48842396316289993,0.9153530042688426,0.4673225141823049
2159,0.2065662145614624,0.46922573612795937,0.3818728029727936,0.48474197764435706,0.9023432095712534,0.46916871864881743
2286,0.19535835087299347,0.46035736619978024,0.3533567786216736,0.5027383337679797,0.9235883662184603,0.4950970616249703
2413,0.2129639834165573,0.45473049489515166,0.3876817524433136,0.48501574756282995,0.9172269768564393,0.45810648702235024
2540,0.18246780335903168,0.4485642887905341,0.37936171889305115,0.4942857965542959,0.9134173666571546,0.4917248671563462
2667,0.11606612801551819,0.44250792129473254,0.36523574590682983,0.5103033857875118,0.9190206054291311,0.5275258666937966
2794,0.15152230858802795,0.43731823283137744,0.3619641661643982,0.5050164307477014,0.9178303378583306,0.5087389591573651
2921,0.14122936129570007,0.43292872778893937,0.39421001076698303,0.5094564049237318,0.9186756351820191,0.5081540353195071
3048,0.20564307272434235,0.4290414222734315,0.39359086751937866,0.49937373642966293,0.9186376238806376,0.4875999055331922
3175,0.10911145061254501,0.4248804294964769,0.3844994604587555,0.5186842150400471,0.9303794222641111,0.5464530584207226
