Iter,Train,Val_G,Val_L,AP50:95,AP50,AP75
1,1.4744882583618164,1.5779133234705245,1.460667371749878,0.00023586914135549208,0.0019164205792175388,0.0
254,0.35216620564460754,1.0084878823586874,0.47672829031944275,0.48901346840240856,0.9079903310972032,0.4643326777775603
508,0.461698055267334,0.8052438056185132,0.4348839819431305,0.5245579595028329,0.9290257999920953,0.5503093529579215
762,0.25244829058647156,0.6697696218533176,0.2789757251739502,0.6125332620723997,0.9584276507125965,0.7154724321803305
1016,0.2827741801738739,0.5823180927123343,0.2449331283569336,0.6543660893585089,0.9641646352186639,0.7908861653246582
1270,0.19589169323444366,0.5152687916443461,0.20740029215812683,0.6793452110829612,0.96420707997485,0.827685967704537
1524,0.1359412521123886,0.4710626791630472,0.22314076125621796,0.6154210693666506,0.9671430586103898,0.7214784586475594
1778,0.17379873991012573,0.43324101161477824,0.19626489281654358,0.7044819343746163,0.967470167935156,0.8362996905220977
2032,0.08788444101810455,0.4018320872788391,0.17015103995800018,0.726949890395752,0.9774060277147368,0.8633812760052638
2286,0.07197491824626923,0.37672251262835094,0.1738211214542389,0.7090972191604278,0.9669574820885939,0.8566146908717867
2540,0.08232482522726059,0.35539576082260577,0.1644783318042755,0.7321624518075398,0.9681733968627007,0.8841771315134503
2794,0.13963115215301514,0.3378310849535323,0.17278456687927246,0.7209082945640294,0.9769255297541634,0.8677458684460092
3048,0.0979408249258995,0.322442357307607,0.16420915722846985,0.727014695484854,0.9778864028793715,0.8803718497091876
3302,0.05016728863120079,0.30828332825354776,0.14853565394878387,0.7458753156987924,0.9777165898449296,0.8865986567885069
3556,0.1290644109249115,0.29686342995081627,0.15643978118896484,0.7239109519004531,0.9688044558592239,0.8743101130501096
3810,0.0731377974152565,0.2869388119384114,0.17103853821754456,0.6968226016201197,0.9682373460982738,0.8549845654412053
4064,0.08210285007953644,0.2771847390045388,0.14244413375854492,0.7629408045534878,0.978756078069795,0.8923625766090921
4318,0.07552426308393478,0.268926242880878,0.15586669743061066,0.7372810620874806,0.9684944217996247,0.8764440912855908
4572,0.10185804963111877,0.2609612934767528,0.14219602942466736,0.7504387655698478,0.9779692873909299,0.8885613847206901
4826,0.06362204253673553,0.2541368184957121,0.14655867218971252,0.7497418805001594,0.968588198375372,0.8872794666754412
5080,0.08187109977006912,0.24800288478533428,0.14982938766479492,0.7553599712575034,0.9783371309079325,0.8763359549362908
5334,0.07862310111522675,0.24224905008087297,0.14000390470027924,0.7569179428158093,0.9688187518961351,0.8943976659410436
5588,0.06589435040950775,0.23671520574029928,0.13927021622657776,0.7624918963554749,0.9775439366277883,0.8859888929927273
5842,0.0455741360783577,0.23238296855817595,0.15928472578525543,0.7491729295755175,0.9591130237158513,0.8810425114944448
6096,0.054649628698825836,0.22783710107207297,0.1351824700832367,0.766375974255885,0.96886004504529,0.8945666920855895
6350,0.06775254756212234,0.22357775429366053,0.13505896925926208,0.7626558050819882,0.9684624208150989,0.8921699531703444
6604,0.1278402954339981,0.2198015809611038,0.14391174912452698,0.7663604532620975,0.9691180051274214,0.9003978887466719
6858,0.06543558835983276,0.21607157882036906,0.13838441669940948,0.7770584495759979,0.9687003999729844,0.9061509276614963
7112,0.053204528987407684,0.21268972327079386,0.13828368484973907,0.7608423908021301,0.9685188553188397,0.8956053944100055
7366,0.05634075403213501,0.20981743758810417,0.15124554932117462,0.7589571255550972,0.9687282212938103,0.8859183898895653
7500,0.04239562153816223,0.20688014779978084,0.141070157289505,0.7625848549235759,0.9687107194896852,0.8863985889171123
