Iter,Train,Val_G,Val_L,Loss_Class,Loss_Box_Reg,Loss_Objectness,Loss_RPN_Box_Reg,AP50:95,AP50,AP75
1,1.5236544609069824,1.391029463495527,1.391029715538025,0.45165401697158813,0.022371146827936172,0.6831545829772949,0.23384976387023926,0.000174007333619268,0.0005249518240414646,0.0
127,0.7069453001022339,1.0369071475097111,0.682784914970398,0.32245561480522156,0.18400020897388458,0.14525412023067474,0.03107486106455326,0.05527977312252786,0.15675048210307027,0.02229261605940868
254,0.7969783544540405,0.9150774921689715,0.6714181900024414,0.32345667481422424,0.2630977928638458,0.06570905447006226,0.019154688343405724,0.2219273468447341,0.48761525753182544,0.1666622781439114
381,0.7123308181762695,0.8256630219519139,0.5574195981025696,0.28145283460617065,0.21866706013679504,0.03839053586125374,0.01890917308628559,0.3181922933630282,0.7120967399499057,0.23582174055828223
508,0.6234166026115417,0.7631461614370346,0.5130786895751953,0.25579461455345154,0.21639211475849152,0.02274315617978573,0.018148869276046753,0.32958816645628014,0.7586197429759803,0.2355992211074292
635,0.6202921271324158,0.7163638113510041,0.48245200514793396,0.2552582621574402,0.19037453830242157,0.022353477776050568,0.014465759508311749,0.383968762883457,0.8248369648976138,0.2931681190788655
762,0.626367449760437,0.6852549370454282,0.4986017644405365,0.27992233633995056,0.17104226350784302,0.029438138008117676,0.01819891668856144,0.4348355204216525,0.8490528678324335,0.38634602803576745
889,0.4965830445289612,0.6496479571663908,0.4003990590572357,0.20767538249492645,0.17014741897583008,0.01053793914616108,0.012038377113640308,0.440811380928114,0.8687638818755865,0.3829738740117331
1016,0.5491558313369751,0.6250319132492655,0.4281035363674164,0.21863040328025818,0.1872691810131073,0.010510609485208988,0.011693364940583706,0.4176389838832155,0.8630281574284632,0.3332183713609349
1143,0.5052481293678284,0.6035039261196341,0.4097520112991333,0.20720498263835907,0.17636115849018097,0.013537351973354816,0.012648586183786392,0.4397962846162806,0.8832834713809813,0.38100970133174994
1270,0.45664459466934204,0.5823138225388217,0.37041279673576355,0.19351424276828766,0.15573042631149292,0.00945479329675436,0.011713303625583649,0.48706753489751814,0.905053401835437,0.4684622547485196
1397,0.4454881250858307,0.5631158670499211,0.3519383668899536,0.17922861874103546,0.15421724319458008,0.008644779212772846,0.009847745299339294,0.4961225811028311,0.9073204107402119,0.47501427312047456
1524,0.4656444191932678,0.5473256188762057,0.35784265398979187,0.18761156499385834,0.15275341272354126,0.007882701233029366,0.009594963863492012,0.4992890633216611,0.918085809871671,0.485160512238317
1651,0.42179417610168457,0.5319350969730591,0.3318583369255066,0.16863609850406647,0.14524392783641815,0.008309409022331238,0.009668828919529915,0.5168720025912815,0.9262961618522524,0.5226009727449742
1778,0.4101327061653137,0.5231247737861815,0.3997802436351776,0.21834807097911835,0.15453480184078217,0.007935207337141037,0.01896216906607151,0.47090184352513653,0.9168824284011037,0.4089747537913199
1905,0.36683428287506104,0.5132873232875551,0.3657256066799164,0.18209238350391388,0.16219641268253326,0.009230856783688068,0.012205892242491245,0.5031719701603881,0.9176518213546261,0.4958362254486309
2032,0.3934779465198517,0.5035026423445269,0.3469477593898773,0.17635490000247955,0.15506963431835175,0.006729834713041782,0.008793381974101067,0.5228769590301431,0.9257312269964733,0.5308059891673894
2159,0.38527390360832214,0.4941040603296151,0.33432814478874207,0.17112624645233154,0.14454150199890137,0.006337675731629133,0.012322720140218735,0.5254878508387953,0.9336783870506145,0.5414906634020434
2286,0.3487347960472107,0.48525034824484276,0.32588353753089905,0.1567230522632599,0.14899086952209473,0.008498135954141617,0.011671465821564198,0.499634830951969,0.9301780518799041,0.4723519328057012
2413,0.34915781021118164,0.4792728930285999,0.36570125818252563,0.182683065533638,0.16424404084682465,0.00826460774987936,0.010509525425732136,0.5009654206616758,0.9143285789810321,0.49287433627003535
2540,0.35851436853408813,0.47442870970283235,0.3775450885295868,0.20150449872016907,0.15747782588005066,0.007067463360726833,0.011495229788124561,0.4944840151759709,0.9154784875489704,0.4742108551450943
2667,0.3117101490497589,0.46825077533721926,0.33851417899131775,0.17939706146717072,0.14392490684986115,0.006472767796367407,0.008719428442418575,0.5414093292947076,0.9402668841175632,0.5588211047437686
2794,0.3447641432285309,0.46151525163502427,0.3133336901664734,0.16683948040008545,0.13034233450889587,0.007019448559731245,0.009132472798228264,0.5531809781098661,0.9437139941034314,0.5797503713401967
2921,0.3666161298751831,0.45609502771958,0.3314298987388611,0.16597703099250793,0.14781346917152405,0.005975731648504734,0.011663666926324368,0.5215351945989521,0.9276049105424068,0.5302316363476289
3048,0.29633474349975586,0.45031363978556227,0.3115603029727936,0.16326630115509033,0.13303834199905396,0.006636142265051603,0.008619546890258789,0.5464150077506116,0.9436822442793299,0.5589955679291556
3175,0.32214027643203735,0.44520597114012794,0.3175142705440521,0.16085505485534668,0.14318989217281342,0.0055156429298222065,0.007953664287924767,0.5320510550543553,0.9332854837740502,0.5429977764173209
3302,0.32713577151298523,0.44006049160761807,0.3062780797481537,0.16319313645362854,0.12891876697540283,0.005592291709035635,0.008573848754167557,0.5593331769828731,0.9455683400927485,0.5956145897553928
3429,0.2942785620689392,0.4347968856747053,0.2926795184612274,0.15329419076442719,0.12494587153196335,0.004991563968360424,0.00944787822663784,0.5530046946394035,0.948049052153012,0.566281401112966
3556,0.2841443121433258,0.42998937835981105,0.2953791618347168,0.148934006690979,0.1316586285829544,0.005871947389096022,0.00891457311809063,0.5455584904815832,0.9469946375458183,0.568588879001217
3683,0.31306570768356323,0.42609787838090035,0.3132443428039551,0.1638319492340088,0.13063174486160278,0.006411426700651646,0.012369250878691673,0.5298405676176849,0.9448411596499515,0.5408362876568371
3810,0.2967584431171417,0.4215041924388178,0.28369367122650146,0.1449921876192093,0.12311428785324097,0.005495684687048197,0.01009143702685833,0.556366559517718,0.9486904570475936,0.586820882134734
3937,0.2970461845397949,0.41719807482191495,0.2837084233760834,0.14232976734638214,0.1273985058069229,0.006000100634992123,0.00798006635159254,0.5645922479228542,0.9477818922049163,0.6081453632630889
4064,0.2785620093345642,0.41442831875312897,0.32579612731933594,0.17042937874794006,0.1407005786895752,0.00636590039357543,0.008300247602164745,0.5378649491087509,0.9469312912031623,0.5373041920659302
4191,0.2564488351345062,0.41084916855858156,0.29273721575737,0.15395000576972961,0.1214587464928627,0.005867460276931524,0.01146098505705595,0.5626680379011973,0.9499240860436,0.6023405028261576
4318,0.24805986881256104,0.40705115511405227,0.2779186964035034,0.1472526639699936,0.11694853752851486,0.005850610788911581,0.007866891101002693,0.5706737215543628,0.9404796743740915,0.6183777605763703
4445,0.3005208671092987,0.40501535892309176,0.333762526512146,0.17724592983722687,0.13643573224544525,0.007347054313868284,0.012733832001686096,0.5110030971770553,0.9437377112993889,0.4826647567631305
4572,0.29067671298980713,0.4019434116493091,0.29135337471961975,0.15148420631885529,0.12113016843795776,0.006199952214956284,0.012538984417915344,0.5565089618989936,0.9361040882012326,0.586978736908535
4699,0.2407025396823883,0.39880384941746416,0.2826400399208069,0.14718271791934967,0.12306548655033112,0.004967859946191311,0.007423971313983202,0.5646037130020668,0.9489061430655555,0.6009572957096201
4826,0.24067191779613495,0.3959495472165691,0.2874860465526581,0.15343447029590607,0.11894137412309647,0.006461454555392265,0.008648755960166454,0.5733085278535802,0.9505531823492559,0.6270372139688946
4953,0.2445589005947113,0.3928697711655072,0.27275851368904114,0.1433495283126831,0.11512865126132965,0.006783489603549242,0.007496809121221304,0.577325790771493,0.9407452044561957,0.6191660040576344
5080,0.23843416571617126,0.3901806969260505,0.2826177477836609,0.15194293856620789,0.11675512790679932,0.006634263787418604,0.007285410072654486,0.5722469877638796,0.9408090993446199,0.618875210916861
